nombre_comuna,id_comuna
LA UNION,62
PANGUIPULLI,51
LANCO,305
LAGO RANCO,151
GORBEA,67
LONCOCHE,66
PUCON,64
TEMUCO,13
TEODORO SCHMIDT,157
FREIRE,155
LAUTARO,72
CUNCO,69
PENCO,30
CORONEL,28
SANTA JUANA,88
FLORIDA,175
CONCEPCION,2
LOS ALAMOS,79
CANETE,78
COIHAIQUE,33
PELLUHUE,190
CARTAGENA,108
EL QUISCO,214
ALGARROBO,213
NAVIDAD,258
PICHILEMU,123
PUTAENDO,205
SANTA MARIA,204
SAN FELIPE,47
SANTIAGO,341
RECOLETA,343
SAN RAMON,340
RENCA,336
PENALOLEN,331
NUNOA,328
MAIPU,327
LA PINTANA,323
LA CISTERNA,318
LO BARNECHEA,317
VITACURA,342
CALLE LARGA,211
SAN ESTEBAN,209
SAN JOSE DE MAIPO,217
PENAFLOR,46
CALERA DE TANGO,256
BUIN,113
COLINA,295
DIEGO DE ALMAGRO,128
MARIA ELENA,140
CAMINA,247
IQUIQUE,20
PUTRE,246
GENERAL LAGOS,294
CAMARONES,269
ISLA DE PASCUA,270
SAN BERNARDO,337
ZAPALLAR,207
VILLA ALEMANA,40
DESCONOCIDA,0
MALLOA,121
RENGO,122
ARAUCO,81
SANTA BARBARA,82
SAN CARLOS,34
CURARREHUE,156
ALTO HOSPICIO,999
ALTO BIOBIO,997
HUALPEN,996
CHOL CHOL,995
ILLAPEL,994
SALAMANCA,998
LOS VILOS,351
HUARA,268
POZO ALMONTE,245
RIO HURTADO,290
LONGAVI,97
RETIRO,186
COLBUN,187
FRUTILLAR,149
FRESIA,57
LOS ANDES,49
LAGUNA BLANCA,298
CURACAUTIN,70
ALHUE,219
PEMUCO,176
QUILLON,178
PINTO,179
RANQUIL,180
SAN NICOLAS,182
COELEMU,93
SAN PABLO,142
OSORNO,8
CHAITEN,241
PAPUDO,232
LA CRUZ,103
LIMACHE,104
CATEMU,206
PANQUEHUE,265
EL BOSQUE,313
CERRO NAVIA,311
LO ESPEJO,320
QUILICURA,335
PUDAHUEL,333
SAN MIGUEL,339
TALAGANTE,44
ISLA DE MAIPO,112
PENCAHUE,195
TALCA,37
CUREPTO,203
EMPEDRADO,192
TIMAUKEL,273
PRIMAVERA,272
FUTRONO,152
MARIQUINA,304
VALPARAISO,5
TALCAHUANO,1
NATALES,306
SAN PEDRO DE LA PAZ,348
VILLARRICA,65
PADRE LAS CASAS,349
CERRILLOS,310
CHANCO,191
CHILLAN VIEJO,350
CHIMBARONGO,100
COMBARBALA,235
CURACAVI,109
DALCAHUE,154
EL CARMEN,251
ESTACION CENTRAL,314
GRANEROS,116
LEBU,80
LITUECHE,227
LOS SAUCES,167
LUMACO,164
MAFIL,147
MARIA PINTO,218
MELIPEUCO,158
NACIMIENTO,83
CABO DE HORNOS,271
NINHUE,184
OVALLE,7
PORVENIR,307
PUCHUNCAVI,212
PURRANQUE,56
QUELLON,143
QUILLECO,172
RANCAGUA,17
SAAVEDRA,161
SAN FABIAN,183
SAN IGNACIO,177
SAN JOAQUIN,338
SAN PEDRO DE ATACAMA,240
TORTEL,277
TRAIGUEN,74
TUCAPEL,168
VILCUN,162
VINA DEL MAR,6
CAUQUENES,14
CARAHUE,71
PERQUENCO,163
QUINCHAO,280
CHONCHI,249
PUMANQUE,262
NANCAGUA,230
CALAMA,21
RIO IBANEZ,300
FREIRINA,239
PUNITAQUI,237
PARRAL,96
MAULLIN,148
RINCONADA,210
ANGOL,31
ANTARTICA,243
ANTOFAGASTA,18
ANTUCO,169
ARICA,19
BULNES,92
CHIGUAYANTE,344
CHILE CHICO,145
COCHRANE,146
COIHUECO,94
COINCO,224
COLCHANE,267
CONCHALI,312
CONCON,345
CONTULMO,171
CORRAL,53
CURANILAHUE,26
DONIHUE,222
EL TABO,215
ERCILLA,166
FUTALEUFU,283
GUAITECAS,299
HIJUELAS,208
HUASCO,244
INDEPENDENCIA,316
LA ESTRELLA,259
LA GRANJA,322
LA LIGUA,138
LAS CABRAS,221
LAS CONDES,319
LICANTEN,202
LLANQUIHUE,59
LOS LAGOS,52
LOTA,27
MACUL,326
MARCHIHUE,228
MAULE,193
MEJILLONES,141
MONTE PATRIA,236
MOSTAZAL,115
MULCHEN,84
NEGRETE,174
NIQUEN,289
NOGALES,302
NUEVA IMPERIAL,160
PADRE HURTADO,346
PAILLACO,54
PAINE,114
PALMILLA,229
PAREDONES,260
PEDRO AGUIRRE CERDA,329
PELARCO,194
PEUMO,119
PICA,266
PIRQUE,254
PROVIDENCIA,332
OHIGGINS,278
PUERTO MONTT,12
PUREN,75
PUYEHUE,286
QUILACO,173
QUINTA NORMAL,334
REQUINOA,118
SAN ANTONIO,38
SAN CLEMENTE,99
SAN GREGORIO,274
SAN JAVIER,98
SAN PEDRO,255
SAN RAFAEL,347
SAN ROSENDO,87
SIERRA GORDA,292
TALTAL,125
TENO,198
TILTIL,297
TIRUA,170
TOLTEN,288
TORRES DEL PAINE,276
TREGUACO,252
VALDIVIA,9
VALLENAR,48
VICHUQUEN,253
YUMBEL,90
YUNGAY,91
PITRUFQUEN,68
GALVARINO,159
LAMPA,296
CHANARAL,129
QUEMCHI,153
LAGO VERDE,279
CHEPICA,197
HUALQUI,89
TOME,29
TIERRA AMARILLA,131
PUENTE ALTO,330
MOLINA,101
RAUCO,200
ROMERAL,201
OLLAGUE,293
ANDACOLLO,133
ALTO DEL CARMEN,291
RIO VERDE,275
PUNTA ARENAS,24
COLLIPULLI,76
LONQUIMAY,165
PORTEZUELO,181
PUERTO OCTAY,150
PALENA,248
CABILDO,137
