id_region,nombre_region,partition_date
0,EN ACTUALIZACION,2018-11-12
NR,REGION DESCONOCIDA,2018-11-12
R1,TARAPACA,2018-11-12
R10,LOS LAGOS,2018-11-12
R11,AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,2018-11-12
R12,MAGALLANES Y DE LA ANTARTICA CHILENA,2018-11-12
R14,LOS RIOS,2018-11-12
R15,ARICA Y PARINACOTA,2018-11-12
R16,NUBLE,2018-11-12
R2,ANTOFAGASTA,2018-11-12
R3,ATACAMA,2018-11-12
R4,COQUIMBO,2018-11-12
R5,VALPARAISO,2018-11-12
R6,LIBERTADOR GENERAL BERNARDO O HIGGINS,2018-11-12
R7,MAULE,2018-11-12
R8,BIO BIO,2018-11-12
R9,LA ARAUCANIA,2018-11-12
RM,METROPOLITANA DE SANTIAGO,2018-11-12
