nombre_region,nombre_comuna
COQUIMBO,MONTE PATRIA
LA ARAUCANIA,ANGOL
MAULE,MAULE
MAULE,PENCAHUE
METROPOLITANA DE SANTIAGO,NUNOA
MAULE,PARRAL
LA ARAUCANIA,COLLIPULLI
LIBERTADOR GENERAL BERNARDO O HIGGINS,CHEPICA
LOS LAGOS,FRUTILLAR
MAULE,CURICO
METROPOLITANA DE SANTIAGO,INDEPENDENCIA
METROPOLITANA DE SANTIAGO,LA PINTANA
METROPOLITANA DE SANTIAGO,LO ESPEJO
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA
VALPARAISO,CARTAGENA
BIO BIO,SANTA JUANA
COQUIMBO,PAIGUANO
LA ARAUCANIA,PERQUENCO
TARAPACA,IQUIQUE
COQUIMBO,COMBARBALA
METROPOLITANA DE SANTIAGO,TILTIL
LOS RIOS,PANGUIPULLI
METROPOLITANA DE SANTIAGO,PROVIDENCIA
VALPARAISO,NOGALES
BIO BIO,CHIGUAYANTE
LIBERTADOR GENERAL BERNARDO O HIGGINS,OLIVAR
LOS LAGOS,COCHAMO
METROPOLITANA DE SANTIAGO,MACUL
ATACAMA,CHANARAL
ATACAMA,DIEGO DE ALMAGRO
BIO BIO,HUALQUI
BIO BIO,YUMBEL
LA ARAUCANIA,LOS SAUCES
VALPARAISO,ZAPALLAR
LIBERTADOR GENERAL BERNARDO O HIGGINS,NANCAGUA
LOS RIOS,PAILLACO
MAULE,LONGAVI
VALPARAISO,VALPARAISO
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES
BIO BIO,PENCO
LA ARAUCANIA,LUMACO
LOS LAGOS,LLANQUIHUE
MAGALLANES Y DE LA ANTARTICA CHILENA,TORRES DEL PAINE
MAULE,SAGRADA FAMILIA
COQUIMBO,ILLAPEL
LOS RIOS,CORRAL
BIO BIO,QUILACO
COQUIMBO,SALAMANCA
LIBERTADOR GENERAL BERNARDO O HIGGINS,LAS CABRAS
LOS LAGOS,CURACO DE VELEZ
LOS LAGOS,HUALAIHUE
LOS LAGOS,LOS MUERMOS
VALPARAISO,LA LIGUA
LIBERTADOR GENERAL BERNARDO O HIGGINS,SANTA CRUZ
LOS LAGOS,FRESIA
METROPOLITANA DE SANTIAGO,LO BARNECHEA
NUBLE,CHILLAN
",""O""""HIGGINS"""
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COCHRANE
BIO BIO,CANETE
BIO BIO,LOS ANGELES
LIBERTADOR GENERAL BERNARDO O HIGGINS,LA ESTRELLA
LIBERTADOR GENERAL BERNARDO O HIGGINS,RENGO
VALPARAISO,LLAILLAY
LA ARAUCANIA,VILLARRICA
LOS LAGOS,PUERTO OCTAY
MAULE,TALCA
METROPOLITANA DE SANTIAGO,LA CISTERNA
VALPARAISO,CONCON
MAULE,RIO CLARO
VALPARAISO,CALERA
VALPARAISO,CATEMU
VALPARAISO,HIJUELAS
VALPARAISO,QUILPUE
BIO BIO,LEBU
BIO BIO,SAN ROSENDO
LA ARAUCANIA,TEODORO SCHMIDT
LOS LAGOS,CHAITEN
MAULE,HUALANE
MAULE,PELARCO
MAULE,RETIRO
METROPOLITANA DE SANTIAGO,ALHUE
TARAPACA,COLCHANE
BIO BIO,CABRERO
BIO BIO,LAJA
LA ARAUCANIA,NUEVA IMPERIAL
MAULE,RAUCO
NUBLE,NIQUEN
VALPARAISO,PUCHUNCAVI
ANTOFAGASTA,CALAMA
BIO BIO,CONTULMO
LA ARAUCANIA,LONQUIMAY
LIBERTADOR GENERAL BERNARDO O HIGGINS,PAREDONES
LOS LAGOS,CHONCHI
MAULE,SAN RAFAEL
METROPOLITANA DE SANTIAGO,LA REINA
ANTOFAGASTA,MEJILLONES
LA ARAUCANIA,GORBEA
LA ARAUCANIA,RENAICO
LIBERTADOR GENERAL BERNARDO O HIGGINS,COLTAUCO
METROPOLITANA DE SANTIAGO,BUIN
METROPOLITANA DE SANTIAGO,SAN MIGUEL
LOS RIOS,LA UNION
VALPARAISO,SANTO DOMINGO
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,LAGO VERDE
METROPOLITANA DE SANTIAGO,CERRO NAVIA
BIO BIO,FLORIDA
LA ARAUCANIA,LAUTARO
LA ARAUCANIA,TEMUCO
BIO BIO,ALTO BIOBIO
COQUIMBO,VICUNA
LIBERTADOR GENERAL BERNARDO O HIGGINS,PEUMO
MAULE,VILLA ALEGRE
VALPARAISO,SAN FELIPE
TARAPACA,PICA
VALPARAISO,ISLA DE PASCUA
BIO BIO,TUCAPEL
LA ARAUCANIA,PUREN
LIBERTADOR GENERAL BERNARDO O HIGGINS,REQUINOA
MAGALLANES Y DE LA ANTARTICA CHILENA,TIMAUKEL
MAULE,COLBUN
MAULE,LICANTEN
METROPOLITANA DE SANTIAGO,CURACAVI
VALPARAISO,VILLA ALEMANA
BIO BIO,ANTUCO
BIO BIO,HUALPEN
LIBERTADOR GENERAL BERNARDO O HIGGINS,SAN VICENTE
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO
BIO BIO,NACIMIENTO
LA ARAUCANIA,LONCOCHE
MAULE,LINARES
METROPOLITANA DE SANTIAGO,MELIPILLA
METROPOLITANA DE SANTIAGO,TALAGANTE
ATACAMA,CALDERA
LOS LAGOS,CALBUCO
LOS RIOS,LANCO
VALPARAISO,EL TABO
ARICA Y PARINACOTA,ARICA
LOS LAGOS,QUEMCHI
LOS LAGOS,SAN PABLO
METROPOLITANA DE SANTIAGO,SAN PEDRO
NUBLE,QUIRIHUE
ATACAMA,ALTO DEL CARMEN
MAULE,CUREPTO
LA ARAUCANIA,PADRE LAS CASAS
LOS LAGOS,PUERTO MONTT
LOS LAGOS,QUEILEN
METROPOLITANA DE SANTIAGO,PENALOLEN
LA ARAUCANIA,ERCILLA
LIBERTADOR GENERAL BERNARDO O HIGGINS,LOLOL
VALPARAISO,LA CRUZ
VALPARAISO,SAN ESTEBAN
BIO BIO,CURANILAHUE
COQUIMBO,CANELA
COQUIMBO,LOS VILOS
LIBERTADOR GENERAL BERNARDO O HIGGINS,MARCHIHUE
METROPOLITANA DE SANTIAGO,LAMPA
VALPARAISO,QUILLOTA
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,RIO IBANEZ
LIBERTADOR GENERAL BERNARDO O HIGGINS,LITUECHE
METROPOLITANA DE SANTIAGO,EL BOSQUE
,
BIO BIO,QUILLECO
METROPOLITANA DE SANTIAGO,LO PRADO
NUBLE,YUNGAY
BIO BIO,SAN PEDRO DE LA PAZ
BIO BIO,TOME
MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA
METROPOLITANA DE SANTIAGO,RENCA
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,TORTEL
BIO BIO,CORONEL
LOS LAGOS,PURRANQUE
LOS RIOS,VALDIVIA
METROPOLITANA DE SANTIAGO,QUILICURA
NUBLE,QUILLON
NUBLE,SAN FABIAN
NUBLE,SAN IGNACIO
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN
LOS RIOS,LAGO RANCO
METROPOLITANA DE SANTIAGO,CERRILLOS
METROPOLITANA DE SANTIAGO,COLINA
METROPOLITANA DE SANTIAGO,SAN BERNARDO
METROPOLITANA DE SANTIAGO,SANTIAGO
VALPARAISO,PETORCA
METROPOLITANA DE SANTIAGO,LA FLORIDA
METROPOLITANA DE SANTIAGO,PAINE
METROPOLITANA DE SANTIAGO,PIRQUE
NUBLE,PEMUCO
VALPARAISO,CASABLANCA
ANTOFAGASTA,OLLAGUE
LOS LAGOS,FUTALEUFU
LOS LAGOS,PUYEHUE
NUBLE,COELEMU
LA ARAUCANIA,CUNCO
LIBERTADOR GENERAL BERNARDO O HIGGINS,MACHALI
LIBERTADOR GENERAL BERNARDO O HIGGINS,PLACILLA
MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS
ATACAMA,COPIAPO
LIBERTADOR GENERAL BERNARDO O HIGGINS,GRANEROS
METROPOLITANA DE SANTIAGO,PADRE HURTADO
NUBLE,SAN CARLOS
MAULE,EMPEDRADO
NUBLE,BULNES
NUBLE,COIHUECO
TARAPACA,CAMINA
VALPARAISO,PANQUEHUE
ANTOFAGASTA,SIERRA GORDA
MAULE,TENO
COQUIMBO,LA SERENA
LA ARAUCANIA,VILCUN
LOS LAGOS,DALCAHUE
LOS LAGOS,OSORNO
METROPOLITANA DE SANTIAGO,VITACURA
VALPARAISO,ALGARROBO
VALPARAISO,LIMACHE
LA ARAUCANIA,GALVARINO
LA ARAUCANIA,VICTORIA
AISEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAIQUE
ATACAMA,HUASCO
LIBERTADOR GENERAL BERNARDO O HIGGINS,PUMANQUE
MAGALLANES Y DE LA ANTARTICA CHILENA,SAN GREGORIO
MAULE,CAUQUENES
NUBLE,EL CARMEN
LIBERTADOR GENERAL BERNARDO O HIGGINS,NAVIDAD
LIBERTADOR GENERAL BERNARDO O HIGGINS,QUINTA DE TILCOCO
LOS RIOS,RIO BUENO
MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS
MAULE,SAN CLEMENTE
BIO BIO,NEGRETE
BIO BIO,TALCAHUANO
METROPOLITANA DE SANTIAGO,PENAFLOR
VALPARAISO,CABILDO
VALPARAISO,SAN ANTONIO
BIO BIO,MULCHEN
METROPOLITANA DE SANTIAGO,PUDAHUEL
VALPARAISO,OLMUE
VALPARAISO,SANTA MARIA
BIO BIO,SANTA BARBARA
LIBERTADOR GENERAL BERNARDO O HIGGINS,PICHIDEGUA
LIBERTADOR GENERAL BERNARDO O HIGGINS,PICHILEMU
LIBERTADOR GENERAL BERNARDO O HIGGINS,RANCAGUA
LOS RIOS,MAFIL
MAGALLANES Y DE LA ANTARTICA CHILENA,PRIMAVERA
MAULE,CHANCO
METROPOLITANA DE SANTIAGO,RECOLETA
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO
NUBLE,CHILLAN VIEJO
VALPARAISO,LOS ANDES
ATACAMA,FREIRINA
LA ARAUCANIA,CHOL CHOL
LA ARAUCANIA,CURARREHUE
LOS LAGOS,ANCUD
METROPOLITANA DE SANTIAGO,PUENTE ALTO
BIO BIO,ARAUCO
LA ARAUCANIA,CURACAUTIN
