"ADDRESS_KEY"|"ADDRESS_ID"|     "ADDRESS_COMMENT"       |"ADDRESS_LINE_1"                                           |"ADDRESS_LINE_2"|"ADDRESS_LINE_3"|"ADDRESS_LINE_4"|"APARTMENT"|"BARRIO"|"BLOCK"|"POSTAL_STREET_NAME"|"POSTAL_STREET_NUMBER"|"POSTAL_TOWN"|"STREET"|"STREET_NUMBER"
2659851      |2659851      |""                           |"MARCOS PEREZ, 146, PUENTE ALTO, Metropolitana de Santiago"|""|"Metropolitana de Santiago 8163179"|"Chile"|""|""|""|"MARCOS PEREZ"|"146"|""|"MARCOS PEREZ"|"146"
6|6|""|"AVENIDA ALCALDE FLOODY BUXTON, 507, CARAHUE, La Araucanía"|""|"Biobío 7500767"|"Chile"|""|""|""|"AVENIDA ALCALDE FLOODY BUXTON"|"507"|""|"AVENIDA ALCALDE FLOODY BUXTON"|"507"
306|306|""|"PASAJE LA CAMPANA, 1379, QUILLOTA, Valparaíso"|""|"Metropolitana de Santiago"|"Chile"|""|""|""|"PASAJE LA CAMPANA"|"1379"|""|"PASAJE LA CAMPANA"|"1379"
106|106|"CALLE SEIS 122 CURICO  SAGRADA FAMILIA"|"CALLE SEIS, 122, CURICO, Maule"|""|"La Araucanía 7500775"|"Chile"|""|""|""|"CALLE SEIS"|"122"|""|"CALLE SEIS"|"122"
307|307|""|"VEINTE NORTE, 1131, TALCA, Maule"|""|"Maule 7500775"|"Chile"|""|""|""|"VEINTE NORTE"|"1131"|""|"VEINTE NORTE"|"1131"
406|406|""|"RINCONADA EL SAUCE, 125, COQUIMBO, Coquimbo"|""|"Coquimbo 7500767"|"Chile"|""|""|""|"RINCONADA EL SAUCE"|"125"|""|"RINCONADA EL SAUCE"|"125"
206|206|""|"PASAJE SAN JAVIER, 1442, 33601006, RENCA, Metropolitana de Santiago"|""|"Aisén del Gral. Carlos Ibáñez del Campo"|"Chile"|""|""|"33601006"|"PASAJE SAN JAVIER"|"1442"|""|"PASAJE SAN JAVIER"|"1442"
407|407|""|"CERRO SOMBRERO, 1020, MAIPU, Metropolitana de Santiago"|""|"Biobío 7500767"|"Chile"|""|""|""|"CERRO SOMBRERO"|"1020"|""|"CERRO SOMBRERO"|"1020"
506|506|""|"AVENIDA CORONEL DE ARTILLERIA LUIS CARRERA, 1448, 3500777, LINARES, Maule"|""|"Maule 3582561"|"Chile"|""|""|"3500777"|"AVENIDA CORONEL DE ARTILLERIA LUIS CARRERA"|"1448"|""|"AVENIDA CORONEL DE ARTILLERIA LUIS CARRERA"|"1448"
100002|100002|"CASILLA"|"COCHAMO, 798, ESTACION CENTRAL, Metropolitana de Santiago"|""|"Metropolitana de Santiago "|"Chile"|""|""|""|"COCHAMO"|"798"|""|"COCHAMO"|"798"
